abstract,authors,citation,title,url
"AbstractBackground: Acupuncture has been proven to be effective as an alternative therapy in treating migraine, but the pathophysiological mechanisms of the treatment remain unclear. This study investigated possible neurochemical responses to acupuncture treatment.Patients and methods: Proton magnetic resonance spectroscopy imaging was used to investigate biochemical levels pre- and post-acupuncture treatment. Participants (N=45) included subjects diagnosed with: 1) migraine without aura; 2) cervicogenic headache; and 3) healthy controls. Participants in the two patient groups received verum acupuncture using acupoints that target migraine without aura but not cervicogenic headache, while the healthy controls received a sham treatment. All participants had magnetic resonance spectroscopy scans before and after the acupuncture therapy. Levels of brain metabolites were examined in relation to clinical headache assessment scores.Results: A significant increase in N-acetylaspartate/creatine was observed in bilateral thalamus in migraine without aura after the acupuncture treatment, which was significantly correlated with the headache intensity score.Conclusion: The data demonstrate brain biochemical changes underlying the effect of acupuncture treatment of migraine.","Gu T, Lin L, Jiang Y, Chen J, D'Arcy RC, Chen M, Song X",J Pain Res. 2018 Apr 27;11:889-900. doi: 10.2147/JPR.S162696. eCollection  2018.,Acupuncture therapy in treating migraine: results of a magnetic resonance spectroscopy imaging study.,https://www.ncbi.nlm.nih.gov/pubmed/29740217
"AbstractThe success of naturalistic or therapeutic neuroregeneration likely depends on an internal milieu that facilitates the survival, proliferation, migration, and differentiation of stem cells and their assimilation into neural networks. Migraine attacks are an integrated sequence of physiological processes that may protect the brain from oxidative stress by releasing growth factors, suppressing apoptosis, stimulating neurogenesis, encouraging mitochondrial biogenesis, reducing the production of oxidants, and upregulating antioxidant defenses. Thus, the migraine attack may constitute a physiologic environment conducive to stem cells. In this paper, key components of migraine are reviewed - neurogenic inflammation with release of calcitonin gene-related peptide (CGRP) and substance P, plasma protein extravasation, platelet activation, release of serotonin by platelets and likely by the dorsal raphe nucleus, activation of endothelial nitric oxide synthase (eNOS), production of brain-derived neurotrophic factor (BDNF) and, in migraine aura, cortical spreading depression - along with their potential neurorestorative aspects. The possibility is considered of using these components to facilitate successful stem cell transplantation. Potential methods for doing so are discussed, including chemical stimulation of the TRPA1 ion channel, conjoint activation of a subset of migraine components, invasive and noninvasive deep brain stimulation of the dorsal raphe nucleus, transcranial focused ultrasound, and stimulation of the Zusanli (ST36) acupuncture point.",Borkum JM,Neural Regen Res. 2018 Apr;13(4):609-615. doi: 10.4103/1673-5374.230275.,Harnessing migraines for neural regeneration.,https://www.ncbi.nlm.nih.gov/pubmed/29722303
"AbstractBACKGROUND AND OBJECTIVE: A migraine is one of the primary headache disorders. Acupuncture has been widely used to treat migraine. Furthermore, electroacupuncture (EA) treatment has been also used to treat migraine. However, there has been no systematic review by assessing efficacy and safety of EA on migraine. This protocol is developed to conduct a systematic review and meta-analysis to evaluate the evidences related to the effectiveness and safety of EA on migraine.METHODS AND ANALYSIS: This protocol follows the guideline according to the Preferred Reporting Items for Systematic reviews and Meta-Analysis Protocol and registered on the International Prospective Register of Systematic Reviews (PROSPERO). The following seven databases will be searched from their inception to September 2016: Medline, the Cochrane Central Register of Controlled Trials (CENTRAL), EMBASE, OASIS, the Korean Traditional Knowledge Portal, the Korean Medical Database and the China National Knowledge Infrastructure (CNKI). This Systemic review will include only the randomized controlled clinical trials (RCTs) of acupuncture therapy on migraine. We will perform data extraction, study selection, assessment with risk of bias and data analysis. The primary outcomes of this study are headache pain intensity and the total treatment effective rate. And this protocol study for systematic reviews, the approval of IRB was not required.ETHICS AND DISSEMINATION: This systematic review will not need ethical approval, because it doesn't involve human beings. We will publish this systematic review electronically in a peer-reviewed journal. This systematic review will give healthcare practitioners good practical guide and information for treating migraine.SYSTEMATIC REVIEW REGISTRATION: PROSPEROCRD42018085099.","Chu H, Seo J, Kim C, Moon Y, Kang DG, Lee HS, Sung KK, Lee S",Medicine (Baltimore). 2018 Apr;97(17):e9999. doi: 10.1097/MD.0000000000009999.,Electroacupuncture for migraine protocol for a systematic review of controlled trials.,https://www.ncbi.nlm.nih.gov/pubmed/29703068
"AbstractOBJECTIVES: To make comparisons between acupuncture and acupressure for preventing menstrual migraine (MM).METHODS: MM is one kind of migraine associated with females' menses. It is often associated with increased menstrual distress and disability, leading to decreased daily activity and quality of life. A randomized and controlled pilot study with three groups: verum acupuncture (VA) group, acupressure (AP) group, and control acupuncture (CA) group. The study lasted for seven cycle-months, with a 1-cycle-month baseline observation (T1), a 3-cycle-month intervention (three times per cycle-month) (T2-T4), and a 3-cycle-month follow-up (T5-T7). Outcome measures were number of migraine days, average and peak pain, total duration period of MM, and percentage of patients with ≥ 50% reduction in the number of MM days.RESULTS: A total of 18 participants were included in the analysis (VA, n = 7; AP, n = 6; CA, n = 5). Both VA and AP were significantly more effective than CA for reducing MM days during the intervention period. Both VA and AP tended to be more effective than CA for reducing peak pain during the intervention period. No significant differences for the outcomes were observed among VA, AP, and CA during the follow-up period. No serious adverse events were reported.DISCUSSION: Results of the pilot study suggest that both VA and AP could be considered as alternative and safe prophylactic interventions for MM. Register ClinicalTrials.gov Identifier: NCT02592681.Copyright © 2018. Published by Elsevier B.V.","Yu X, Salmoni A",J Acupunct Meridian Stud. 2018 Apr 11. pii: S2005-2901(17)30189-9. doi: 10.1016/j.jams.2018.04.003. [Epub ahead of print],Comparison of the Prophylactic Effect Between Acupuncture and Acupressure on Menstrual Migraine: Results of a Pilot Study.,https://www.ncbi.nlm.nih.gov/pubmed/29654841
"AbstractOBJECTIVE: We applied C2 peripheral nerve field stimulation using electroacupuncture (EA-C2-PNfS) for primary headache, and investigated its clinical effectiveness.MATERIALS AND METHODS: Fifty-four primary headache patients (10 men, 44 women) with a mean age of 48.6 ± 15.0 years underwent EA-C2-PNfS for three months. We used questionnaires to assess outcomes; pain intensity (11-point numerical rating scale [NRS]), quality of daily life (Headache Impact Test [HIT-6]), depression (Self-Rating Depression Scale [SDS]). Monthly headache days and acute headache medication days were obtained from diaries.RESULTS: The headache intensity significantly declined after the EA-C2-PNfS with reduction of NRS pain scale; 7.4 ± 1.9 at baseline, 4.9 ± 2.9 at three month (p < 0.001). Both HIT-6 and SDS showed significant improvement (p < 0.001). Some patients showed moderate depression in SDS before treatment, that was alleviated in patients with tension-type headache after the EA-C2-PNfS. Monthly headache days significantly decreased from 18.0 ± 9.0 at one month to 14.0 ± 10.2 at three months (p < 0.001), accompanied with reduction of the monthly acute headache medication days from 8.0 ± 6.7 to 6.4 ± 6.5 (p = 0.003).CONCLUSIONS: EA-C2-PNfS was successfully used for reducing severity and disability in primary headache patients. We conclude that EA-C2-PNfS is a favorable option for medically intractable primary headache as less-invasive neuromodulation.© 2018 International Neuromodulation Society.","Ishiyama S, Shibata Y, Ayuzawa S, Matsushita A, Matsumura A",Neuromodulation. 2018 Mar 22. doi: 10.1111/ner.12772. [Epub ahead of print],Clinical Effect of C2 Peripheral Nerve Field Stimulation Using Electroacupuncture for Primary Headache.,https://www.ncbi.nlm.nih.gov/pubmed/29566284
AbstractThis issue includes several excellent observational studies prompted by physicians' clinical questions. Many people use lots of menthol cough drops-does the menthol overall lengthen the cough duration? When should we intensify treatment of older individuals with diabetes? Do occipital nerve blocks work for acute migraine headaches? Did you know that the plantar fascia can rupture? What happens to those patients with chest pain but low pretest probability for serious cardiac disease who are admitted to the hospital? Acupuncture can work well-for the patients-but how can we incorporate it into the usual pace of the family medicine office? Is it a win-lose situation when medical assistant roles are expanded? How many practice sites do physicians have and does that make a difference in the number or type of health personnel shortage areas? What would you guess on the presence of humor in the medical office-more or less than half of the visits; introduced by doctors or patients; primary care or specialty doctors?,"Bowman MA, Neale AV, Seehusen DA",J Am Board Fam Med. 2018 Mar-Apr;31(2):171-173. doi: 10.3122/jabfm.2018.02.180005.,Real-Life Observational Studies Provide Actionable Data for Family Medicine.,https://www.ncbi.nlm.nih.gov/pubmed/29535231
"AbstractNumerous fMRI studies have confirmed functional abnormalities in resting-state brain networks in migraine patients. However, few studies focusing on causal relationships of pain-related brain networks in migraine have been conducted. This study aims to explore the difference of Granger causality connection among pain-related brain networks in migraine without aura (MWoA) patients.Twenty two MWoA patients and 17 matched healthy subjects were recruited to undergo resting-state fMRI scanning. Independent component analysis was used to extract pain-related brain networks, and Granger causality analysis to characterize the difference of Granger causality connection among pain-related brain networks was employed.Seven pain-related brain networks were identified, and MwoA patients showed more complex Granger causality connections in comparison with healthy subjects. Two-sample t test results displayed that there was the significant difference between right-frontoparietal network (RFPN) and executive control network (ECN).This study indicates that the specific intrinsic brain Granger causality connectivity among pain-related networks in MwoA patients are affected after long-term migraine attacks.","Ning Y, Zheng R, Li K, Zhang Y, Lyu D, Jia H, Ren Y, Zou Y",Medicine (Baltimore). 2018 Mar;97(10):e0102. doi: 10.1097/MD.0000000000010102.,The altered Granger causality connection among pain-related brain networks in migraine.,https://www.ncbi.nlm.nih.gov/pubmed/29517685
"AbstractPURPOSE OF REVIEW: Menopause is a life-changing event in numerous ways. Many women with migraine hold hope that the transition to the climacteric state will coincide with a cessation or improvement of migraine. This assumption is based mainly on common lay perceptions as well as assertions from many in the healthcare community. Unfortunately, evidence suggests this is far from the rule. Many women turn to a general practitioner or a headache specialist for prognosis and management. A natural instinct is to manipulate the offending agent, but in some cases, this approach backfires, or the concern for adverse events outweighs the desire for a therapeutic trial, and other strategies must be pursued. Our aim was to review the frequency and type of headache syndromes associated with menopause, to review the evidence for specific treatments for headache associated with menopause, and to provide management recommendations and prognostic guidance.RECENT FINDINGS: We reviewed both clinic- and population-based studies assessing headache associated with menopause. Headache in menopause is less common than headache at earlier ages but can present a unique challenge. Migraine phenotype predominates, but presentations can vary or be due to secondary causes. Other headache types, such as tension-type headache (TTH) and cluster headache (CH) may also be linked to or altered by hormonal changes. There is a lack of well-defined diagnostic criteria for headache syndromes associated with menopause. Women with surgical menopause often experience a worse course of disease status than those with natural menopause. Hormonal replacement therapy (HRT) often results in worsening of migraine and carries potential for increased cardiovascular and ischemic stroke risk. Estrogen replacement therapy (ERT) in patients with migraine with aura (MA) may increase the risk of ischemic stroke; however, the effect is likely dose-dependent. Some medications used in the prophylaxis of migraine may be useful in ameliorating the vasomotor and mood effects of menopause, including venlafaxine, escitalopram, paroxetine, and gabapentin. Other non-medication strategies such as acupuncture, vitamin E, black cohosh, aerobic exercise, and yoga may also be helpful in reducing headache and/or vasomotor symptoms associated with menopause. The frequency and type of headache associated with menopause is variable, though migraine and TTH are most common. Women may experience a worsening, an improvement, or no change in headache during the menopausal transition. Treatment may be limited by vascular risks or other medical and psychiatric factors. We recommend using medications with dual benefit for migraine and vasomotor symptoms including venlafaxine, escitalopram, paroxetine, and gabapentin, as well as non-medication strategies such as acupuncture, vitamin E, black cohosh, aerobic exercise, and yoga. If HRT is pursued, continuous (rather than cyclical) physiological doses should be used, transdermal route of administration is recommended, and the patient should be counseled on the potential for increased risk of adverse events (AEs). Concomitant use of a progestogen decreases the risk of endometrial hyperplasia with ERT. Biological mechanisms are incompletely understood, and there is a lack of consensus on how to define and classify headache in menopause. Further research to focus on pathophysiology and nuanced management is desired.","Lauritsen CG, Chua AL, Nahas SJ",Curr Treat Options Neurol. 2018 Mar 6;20(4):7. doi: 10.1007/s11940-018-0492-7.,Current Treatment Options: Headache Related to Menopause-Diagnosis and Management.,https://www.ncbi.nlm.nih.gov/pubmed/29508091
"AbstractTemporal arteritis is a form of vasculitis that involves the large and medium-diameter arteries and leads to progressive headache. Symptoms may be accompanied by vision disorder, subfebrile temperature, fatigue, lack of appetite, weight loss, sweating and joint pains. While cortisone therapy reduces the symptoms, its effects in terms of improving quality of life are limited. We elected to benefit from the effects of acupuncture in order to reduce symptoms and increase quality of life in a case of temporal arteritis, a chronic disease. A 75-year-old woman presented with pain on both sides of the head. The pain occurred in the form of agonizing attacks 2-3 times a week. Accompanying neck pain was present, together with continuous lethargy and fatigue. Physical examination revealed decreased cutaneous elasticity and muscle mass, and a depressive mood state was present. The patient was first administered six sessions of acupuncture therapy directed toward the migraine etiology. When no response was achieved, we investigated temporal and parietal region points associated with headache in the literature. Points GB1,8,18, ST8, SI19 and BL8 were added to the treatment. A decrease in the pain attacks and their frequency occurred following acupuncture therapy. In conclusion, while cortisone is the first preference in the treatment of temporal arteritis, we think that acupuncture aimed at the cause of accompanying symptoms can also be useful.",Sezgin Y,J Acupunct Meridian Stud. 2017 Dec 26. pii: S2005-2901(17)30228-5. doi: 10.1016/j.jams.2017.12.002. [Epub ahead of print],The acupuncture therapeutic approach in temporal arteritis vasculitis: A case report.,https://www.ncbi.nlm.nih.gov/pubmed/29436372
"AbstractIntroduction: Surgical menopause is associated with symptoms that can affect a woman's quality of life (QoL) significantly. These symptoms include migraines, insomnia, and depression. Case: A 45-year-old Caucasian female presented at an acupuncture clinic. Fourteen years prior, she had been diagnosed with ovarian carcinoma, underwent ovariectomy, and was prescribed hormone replacement therapy. Deteriorating QoL caused her to seek acupuncture for migraines, insomnia, and depression. The outcomes sought for treatment of this case included intensity, duration, and frequency of migraines, insomnia, and depression, as well as her QoL. The outcome measures were estimated monthly throughout her treatment. Each was rated on a numeric scale of 0-10 (0 = ""the lowest possible"" and 10 = ""the worst imaginable""). At baseline, the patient rated the intensity, duration, and frequency of each complaint as 10. She was treated with 60-minute, I Ching Balance Acupuncture (ICBA) sessions once per week for 7 months. Results: This acupuncture treatment did not cause any adverse events, pain, or discomfort. Her migraines, insomnia, and depression decreased to a great extent. In addition, this patient reported considerable improvement in her QoL. The improvement in her QoL was inversely related to the intensity, duration, and frequency of her complaints throughout her acupuncture treatment. Conclusions: This patient reported a considerable improvement in all the outcome measures. She completed the treatment after experiencing great improvement in her QoL. Additional, larger-scale studies are warranted to investigate the effects of ICBA.",Kotlyar A,Med Acupunct. 2018 Feb 1;30(1):41-45. doi: 10.1089/acu.2017.1249.,"I Ching Balance Acupuncture Treatment of Migraines, Insomnia, and Depression in a Post-Ovariectomy Patient Receiving Hormone Replacement Therapy.",https://www.ncbi.nlm.nih.gov/pubmed/29410721
